MS-DRG,DRG_CODE,MDC,TYPE,DESCRIPTION,WEIGHT
139,139,03,SURG,SALIVARY GLAND PROCEDURES,0.9169
146,146,03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",2.0402
147,147,03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",1.2317
148,148,03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",0.7688
149,149,03,MED,DYSEQUILIBRIUM,0.6184
150,150,03,MED,EPISTAXIS W MCC,1.3298
151,151,03,MED,EPISTAXIS W/O MCC,0.6557
152,152,03,MED,OTITIS MEDIA & URI W MCC,1.0042
153,153,03,MED,OTITIS MEDIA & URI W/O MCC,0.6439
154,154,03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",1.3785
155,155,03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",0.861
156,156,03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",0.616
157,157,03,MED,DENTAL & ORAL DISEASES W MCC,1.538
158,158,03,MED,DENTAL & ORAL DISEASES W CC,0.8525
159,159,03,MED,DENTAL & ORAL DISEASES W/O CC/MCC,0.61
163,163,04,SURG,MAJOR CHEST PROCEDURES W MCC,5.0952
164,164,04,SURG,MAJOR CHEST PROCEDURES W CC,2.6086
165,165,04,SURG,MAJOR CHEST PROCEDURES W/O CC/MCC,1.7943
166,166,04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,3.6741
167,167,04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,1.986
168,168,04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,1.3101
175,175,04,MED,PULMONARY EMBOLISM W MCC,1.5346
176,176,04,MED,PULMONARY EMBOLISM W/O MCC,0.9891
177,177,04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,1.9934
178,178,04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,1.3955
179,179,04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,0.9741
180,180,04,MED,RESPIRATORY NEOPLASMS W MCC,1.7026
181,181,04,MED,RESPIRATORY NEOPLASMS W CC,1.1725
182,182,04,MED,RESPIRATORY NEOPLASMS W/O CC/MCC,0.7905
183,183,04,MED,MAJOR CHEST TRAUMA W MCC,1.4649
184,184,04,MED,MAJOR CHEST TRAUMA W CC,0.9832
185,185,04,MED,MAJOR CHEST TRAUMA W/O CC/MCC,0.6907
186,186,04,MED,PLEURAL EFFUSION W MCC,1.5727
187,187,04,MED,PLEURAL EFFUSION W CC,1.0808
188,188,04,MED,PLEURAL EFFUSION W/O CC/MCC,0.7468
189,189,04,MED,PULMONARY EDEMA & RESPIRATORY FAILURE,1.2184
190,190,04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,1.1708
191,191,04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,0.9343
192,192,04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,0.712
193,193,04,MED,SIMPLE PNEUMONIA & PLEURISY W MCC,1.455
194,194,04,MED,SIMPLE PNEUMONIA & PLEURISY W CC,0.9771
195,195,04,MED,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,0.6997
196,196,04,MED,INTERSTITIAL LUNG DISEASE W MCC,1.6686
197,197,04,MED,INTERSTITIAL LUNG DISEASE W CC,1.0627
198,198,04,MED,INTERSTITIAL LUNG DISEASE W/O CC/MCC,0.7958
199,199,04,MED,PNEUMOTHORAX W MCC,1.8127
200,200,04,MED,PNEUMOTHORAX W CC,0.9692
201,201,04,MED,PNEUMOTHORAX W/O CC/MCC,0.7053
202,202,04,MED,BRONCHITIS & ASTHMA W CC/MCC,0.8678
203,203,04,MED,BRONCHITIS & ASTHMA W/O CC/MCC,0.6391
204,204,04,MED,RESPIRATORY SIGNS & SYMPTOMS,0.678
205,205,04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,1.3935
206,206,04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,0.7911
207,207,04,MED,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,5.2556
208,208,04,MED,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,2.2871
215,215,05,SURG,OTHER HEART ASSIST SYSTEM IMPLANT,14.779
216,216,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,9.4801
217,217,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,6.2835
218,218,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,5.4262
219,219,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,7.9191
220,220,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5.2917
221,221,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,4.6424
222,222,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,8.8167
223,223,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,6.4257
224,224,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,7.7224
225,225,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,5.9206
226,226,05,SURG,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,7.0099
227,227,05,SURG,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,5.5397
228,228,05,SURG,OTHER CARDIOTHORACIC PROCEDURES W MCC,6.8682
229,229,05,SURG,OTHER CARDIOTHORACIC PROCEDURES W CC,4.4413
230,230,05,SURG,OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC,3.6669
231,231,05,SURG,CORONARY BYPASS W PTCA W MCC,7.8158
232,232,05,SURG,CORONARY BYPASS W PTCA W/O MCC,5.6145
233,233,05,SURG,CORONARY BYPASS W CARDIAC CATH W MCC,7.3887
234,234,05,SURG,CORONARY BYPASS W CARDIAC CATH W/O MCC,4.827
235,235,05,SURG,CORONARY BYPASS W/O CARDIAC CATH W MCC,5.8478
236,236,05,SURG,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,3.8011
237,237,05,SURG,MAJOR CARDIOVASC PROCEDURES W MCC,5.0962
238,238,05,SURG,MAJOR CARDIOVASC PROCEDURES W/O MCC,3.3576
239,239,05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,4.8601
240,240,05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,2.6789
241,241,05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,1.4226
242,242,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,3.7491
243,243,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2.6716
244,244,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,2.1608
245,245,05,SURG,AICD GENERATOR PROCEDURES,4.7022
246,246,05,SURG,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,3.183
247,247,05,SURG,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,2.0408
248,248,05,SURG,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,2.9479
249,249,05,SURG,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,1.8245
250,250,05,SURG,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,2.9881
251,251,05,SURG,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1.9737
252,252,05,SURG,OTHER VASCULAR PROCEDURES W MCC,3.1477
253,253,05,SURG,OTHER VASCULAR PROCEDURES W CC,2.5172
254,254,05,SURG,OTHER VASCULAR PROCEDURES W/O CC/MCC,1.7012
255,255,05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,2.6404
256,256,05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,1.5973
257,257,05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC,0.9017
258,258,05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,2.7229
259,259,05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,1.9462
260,260,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,3.7238
261,261,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,1.7284
262,262,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,1.3866
263,263,05,SURG,VEIN LIGATION & STRIPPING,1.8888
264,264,05,SURG,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,2.7138
265,265,05,SURG,AICD LEAD PROCEDURES,2.689
280,280,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1.7431
281,281,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",1.0568
282,282,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",0.7551
283,283,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",1.6885
284,284,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC",0.7614
285,285,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC",0.5227
286,286,05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2.1058
287,287,05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",1.0866
288,288,05,MED,ACUTE & SUBACUTE ENDOCARDITIS W MCC,2.7956
289,289,05,MED,ACUTE & SUBACUTE ENDOCARDITIS W CC,1.7891
290,290,05,MED,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC,1.2359
291,291,05,MED,HEART FAILURE & SHOCK W MCC,1.5031
292,292,05,MED,HEART FAILURE & SHOCK W CC,0.9938
293,293,05,MED,HEART FAILURE & SHOCK W/O CC/MCC,0.6723
294,294,05,MED,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,0.9439
295,295,05,MED,DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC,0.6287
296,296,05,MED,"CARDIAC ARREST, UNEXPLAINED W MCC",1.3013
297,297,05,MED,"CARDIAC ARREST, UNEXPLAINED W CC",0.6063
298,298,05,MED,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC",0.426
299,299,05,MED,PERIPHERAL VASCULAR DISORDERS W MCC,1.3647
300,300,05,MED,PERIPHERAL VASCULAR DISORDERS W CC,0.9666
301,301,05,MED,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,0.6681
302,302,05,MED,ATHEROSCLEROSIS W MCC,1.0287
303,303,05,MED,ATHEROSCLEROSIS W/O MCC,0.6034
304,304,05,MED,HYPERTENSION W MCC,1.0268
305,305,05,MED,HYPERTENSION W/O MCC,0.6176
306,306,05,MED,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,1.3659
307,307,05,MED,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,0.7917
308,308,05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,1.2088
309,309,05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,0.7867
310,310,05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,0.5512
311,311,05,MED,ANGINA PECTORIS,0.5649
312,312,05,MED,SYNCOPE & COLLAPSE,0.7228
313,313,05,MED,CHEST PAIN,0.5992
314,314,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,1.8941
315,315,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,0.9534
316,316,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,0.6358
326,326,06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",5.6013
327,327,06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",2.6598
328,328,06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",1.4765
329,329,06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,5.1272
330,330,06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,2.5609
331,331,06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.638
332,332,06,SURG,RECTAL RESECTION W MCC,4.7072
333,333,06,SURG,RECTAL RESECTION W CC,2.4466
334,334,06,SURG,RECTAL RESECTION W/O CC/MCC,1.5849
335,335,06,SURG,PERITONEAL ADHESIOLYSIS W MCC,4.1615
336,336,06,SURG,PERITONEAL ADHESIOLYSIS W CC,2.3513
337,337,06,SURG,PERITONEAL ADHESIOLYSIS W/O CC/MCC,1.5742
338,338,06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,3.1217
339,339,06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,1.7117
340,340,06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,1.1741
341,341,06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,2.1821
342,342,06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,1.2968
343,343,06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,0.9358
344,344,06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,3.5966
345,345,06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,1.6865
346,346,06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.2174
347,347,06,SURG,ANAL & STOMAL PROCEDURES W MCC,2.5182
348,348,06,SURG,ANAL & STOMAL PROCEDURES W CC,1.3585
349,349,06,SURG,ANAL & STOMAL PROCEDURES W/O CC/MCC,0.8834
350,350,06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,2.4598
351,351,06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,1.3761
352,352,06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,0.9239
353,353,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,2.7885
354,354,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,1.6401
355,355,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,1.1783
356,356,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,3.8388
357,357,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,2.1448
358,358,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,1.3942
368,368,06,MED,MAJOR ESOPHAGEAL DISORDERS W MCC,1.8779
369,369,06,MED,MAJOR ESOPHAGEAL DISORDERS W CC,1.066
370,370,06,MED,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,0.7486
371,371,06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,1.9027
372,372,06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,1.1733
373,373,06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,0.8103
374,374,06,MED,DIGESTIVE MALIGNANCY W MCC,2.1051
375,375,06,MED,DIGESTIVE MALIGNANCY W CC,1.2561
376,376,06,MED,DIGESTIVE MALIGNANCY W/O CC/MCC,0.8738
377,377,06,MED,G.I. HEMORRHAGE W MCC,1.7629
378,378,06,MED,G.I. HEMORRHAGE W CC,1.0029
379,379,06,MED,G.I. HEMORRHAGE W/O CC/MCC,0.6937
380,380,06,MED,COMPLICATED PEPTIC ULCER W MCC,1.9223
381,381,06,MED,COMPLICATED PEPTIC ULCER W CC,1.1199
382,382,06,MED,COMPLICATED PEPTIC ULCER W/O CC/MCC,0.7784
383,383,06,MED,UNCOMPLICATED PEPTIC ULCER W MCC,1.385
384,384,06,MED,UNCOMPLICATED PEPTIC ULCER W/O MCC,0.8501
385,385,06,MED,INFLAMMATORY BOWEL DISEASE W MCC,1.7973
386,386,06,MED,INFLAMMATORY BOWEL DISEASE W CC,1.0097
387,387,06,MED,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,0.7533
388,388,06,MED,G.I. OBSTRUCTION W MCC,1.617
389,389,06,MED,G.I. OBSTRUCTION W CC,0.8853
390,390,06,MED,G.I. OBSTRUCTION W/O CC/MCC,0.6046
391,391,06,MED,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",1.1903
