APR-DRG,SEVERITY,DRG_CODE,MDC,DESCRIPTION,WEIGHT
48,3,483,01,"Peripheral, Cranial & Autonomic Nerve Disorders",1.116
48,4,484,01,"Peripheral, Cranial & Autonomic Nerve Disorders",2.6003
49,1,491,01,Bacterial & Tuberculous Infections of Nervous System,1.241
49,2,492,01,Bacterial & Tuberculous Infections of Nervous System,2.328
49,3,493,01,Bacterial & Tuberculous Infections of Nervous System,3.1788
49,4,494,01,Bacterial & Tuberculous Infections of Nervous System,4.9898
50,1,501,01,Non-bacterial Infections of Nervous System Exc Viral Meningitis,0.7582
50,2,502,01,Non-bacterial Infections of Nervous System Exc Viral Meningitis,1.179
50,3,503,01,Non-bacterial Infections of Nervous System Exc Viral Meningitis,2.0149
50,4,504,01,Non-bacterial Infections of Nervous System Exc Viral Meningitis,5.2881
51,1,511,01,Viral Meningitis,0.5828
51,2,512,01,Viral Meningitis,0.7539
51,3,513,01,Viral Meningitis,1.3625
51,4,514,01,Viral Meningitis,1.5678
52,1,521,01,Nontraumatic Stupor & Coma,0.4542
52,2,522,01,Nontraumatic Stupor & Coma,0.6837
52,3,523,01,Nontraumatic Stupor & Coma,1.0519
52,4,524,01,Nontraumatic Stupor & Coma,2.1899
53,1,531,01,Seizure,0.4229
53,2,532,01,Seizure,0.5364
53,3,533,01,Seizure,0.8925
53,4,534,01,Seizure,2.8172
54,1,541,01,Migraine & Other Headaches,0.4311
54,2,542,01,Migraine & Other Headaches,0.5385
54,3,543,01,Migraine & Other Headaches,0.7407
54,4,544,01,Migraine & Other Headaches,0.7501
55,1,551,01,Head Trauma w/ Coma > 1 Hr or Hemorrhage,0.5341
55,2,552,01,Head Trauma w/ Coma > 1 Hr or Hemorrhage,0.8553
55,3,553,01,Head Trauma w/ Coma > 1 Hr or Hemorrhage,1.5785
55,4,554,01,Head Trauma w/ Coma > 1 Hr or Hemorrhage,3.6865
56,1,561,01,"Brain Contusion/Laceration & Compliated Skull FX, COMA < 1 HR OR No Coma",0.4723
56,2,562,01,"Brain Contusion/Laceration & Compliated Skull FX, COMA < 1 HR OR No Coma",0.7752
56,3,563,01,"Brain Contusion/Laceration & Compliated Skull FX, COMA < 1 HR OR No Coma",1.4443
56,4,564,01,"Brain Contusion/Laceration & Compliated Skull FX, COMA < 1 HR OR No Coma",4.6172
57,1,571,01,"Concussion, Closed Skull FX Nos, Uncomplicated Intracranial Injury, Coma <1 Hr or No Com",0.3461
57,2,572,01,"Concussion, Closed Skull FX Nos, Uncomplicated Intracranial Injury, Coma <1 Hr or No Com",0.5136
57,3,573,01,"Concussion, Closed Skull FX Nos, Uncomplicated Intracranial Injury, Coma <1 Hr or No Com",1.1133
57,4,574,01,"Concussion, Closed Skull FX Nos, Uncomplicated Intracranial Injury, Coma <1 Hr or No Com",2.7368
58,1,581,01,Other Disorders of Nervous System,0.5175
58,2,582,01,Other Disorders of Nervous System,0.7552
58,3,583,01,Other Disorders of Nervous System,1.2499
58,4,584,01,Other Disorders of Nervous System,3.0533
70,1,701,02,Orbital Procedures,0.7933
70,2,702,02,Orbital Procedures,1.1673
70,3,703,02,Orbital Procedures,1.787
70,4,704,02,Orbital Procedures,1.9598
73,1,731,02,Eye Procedures Except Orbit,0.6792
73,2,732,02,Eye Procedures Except Orbit,0.9082
73,3,733,02,Eye Procedures Except Orbit,1.5837
73,4,734,02,Eye Procedures Except Orbit,2.6356
80,1,801,02,Acute Major Eye Infections,0.5027
80,2,802,02,Acute Major Eye Infections,0.6649
80,3,803,02,Acute Major Eye Infections,1.0304
80,4,804,02,Acute Major Eye Infections,1.2146
82,1,821,02,Eye Disorders Except Major Infections,0.4707
82,2,822,02,Eye Disorders Except Major Infections,0.5434
82,3,823,02,Eye Disorders Except Major Infections,0.9588
82,4,824,02,Eye Disorders Except Major Infections,1.0814
89,1,891,03,Major Cranial/Facial Bone Procedures,1.3021
89,2,892,03,Major Cranial/Facial Bone Procedures,2.0048
89,3,893,03,Major Cranial/Facial Bone Procedures,3.2306
89,4,894,03,Major Cranial/Facial Bone Procedures,6.0746
90,1,901,03,Major Larynx & Trachea Procedures,0.6117
90,2,902,03,Major Larynx & Trachea Procedures,2.2403
90,3,903,03,Major Larynx & Trachea Procedures,4.254
90,4,904,03,Major Larynx & Trachea Procedures,5.2789
91,1,911,03,Other Major Head & Neck Procedures,1.336
91,2,912,03,Other Major Head & Neck Procedures,3.0967
91,3,913,03,Other Major Head & Neck Procedures,4.3627
91,4,914,03,Other Major Head & Neck Procedures,4.7947
92,1,921,03,Facial Bone Procedures Except Major Cranial/Facial Bone Procedures,1.0641
92,2,922,03,Facial Bone Procedures Except Major Cranial/Facial Bone Procedures,1.2744
92,3,923,03,Facial Bone Procedures Except Major Cranial/Facial Bone Procedures,2.004
92,4,924,03,Facial Bone Procedures Except Major Cranial/Facial Bone Procedures,2.2114
93,1,931,03,Sinus & Mastoid Procedures,0.7806
93,2,932,03,Sinus & Mastoid Procedures,1.1402
93,3,933,03,Sinus & Mastoid Procedures,2.2444
93,4,934,03,Sinus & Mastoid Procedures,2.3167
95,1,951,03,Cleft Lip & Palate Repair,0.667
95,2,952,03,Cleft Lip & Palate Repair,0.8195
95,3,953,03,Cleft Lip & Palate Repair,1.2739
95,4,954,03,Cleft Lip & Palate Repair,1.537
97,1,971,03,Tonsill & Adenoid Procedures,0.4454
97,2,972,03,Tonsill & Adenoid Procedures,0.6614
97,3,973,03,Tonsill & Adenoid Procedures,1.5352
97,4,974,03,Tonsill & Adenoid Procedures,1.8566
98,1,981,03,"Other Ear, Nose, Mouth & Throat Procedures",0.6653
98,2,982,03,"Other Ear, Nose, Mouth & Throat Procedures",0.9565
98,3,983,03,"Other Ear, Nose, Mouth & Throat Procedures",2.008
98,4,984,03,"Other Ear, Nose, Mouth & Throat Procedures",5.2916
110,1,1101,03,"Ear, Nose, Mouth Throat, Cranial/Facial Malignancies",0.6813
110,2,1102,03,"Ear, Nose, Mouth Throat, Cranial/Facial Malignancies",0.9882
110,3,1103,03,"Ear, Nose, Mouth Throat, Cranial/Facial Malignancies",1.435
110,4,1104,03,"Ear, Nose, Mouth Throat, Cranial/Facial Malignancies",3.3828
111,1,1111,03,Vertigo & Other Labyrinth Disorders,0.3987
111,2,1112,03,Vertigo & Other Labyrinth Disorders,0.5002
111,3,1113,03,Vertigo & Other Labyrinth Disorders,0.7293
111,4,1114,03,Vertigo & Other Labyrinth Disorders,0.7347
113,1,1131,03,Infections Of The Upper Respiratory Tract,0.3538
113,2,1132,03,Infections Of The Upper Respiratory Tract,0.4576
113,3,1133,03,Infections Of The Upper Respiratory Tract,0.7336
113,4,1134,03,Infections Of The Upper Respiratory Tract,1.9816
114,1,1141,03,Dental & Oral Diseases & Injuries,0.4485
114,2,1142,03,Dental & Oral Diseases & Injuries,0.5785
114,3,1143,03,Dental & Oral Diseases & Injuries,1.1058
114,4,1144,03,Dental & Oral Diseases & Injuries,3.3782
115,1,1151,03,"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",0.4071
115,2,1152,03,"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",0.555
115,3,1153,03,"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",1.0201
115,4,1154,03,"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",2.5905
120,1,1201,04,Major Respiratory & Chest Procedures,1.6492
120,2,1202,04,Major Respiratory & Chest Procedures,2.147
120,3,1203,04,Major Respiratory & Chest Procedures,3.4389
120,4,1204,04,Major Respiratory & Chest Procedures,6.5786
121,1,1211,04,Other Respiratory & Chest Procedures,1.1883
121,2,1212,04,Other Respiratory & Chest Procedures,1.6252
121,3,1213,04,Other Respiratory & Chest Procedures,3.0587
121,4,1214,04,Other Respiratory & Chest Procedures,6.2527
130,1,1301,04,Respiratory System Diagnosis w/ Ventilator Support 96+ Hours,2.9856
130,2,1302,04,Respiratory System Diagnosis w/ Ventilator Support 96+ Hours,3.231
130,3,1303,04,Respiratory System Diagnosis w/ Ventilator Support 96+ Hours,3.9604
130,4,1304,04,Respiratory System Diagnosis w/ Ventilator Support 96+ Hours,6.0017
131,1,1311,04,Cystic Fibrosis - Pulmonary Disease,1.3418
131,2,1312,04,Cystic Fibrosis - Pulmonary Disease,1.5975
131,3,1313,04,Cystic Fibrosis - Pulmonary Disease,1.9794
131,4,1314,04,Cystic Fibrosis - Pulmonary Disease,3.0173
132,1,1321,04,BPD & Oth Chronic Respiratory Dis Arising In Perinatal Period,0.6417
132,2,1322,04,BPD & Oth Chronic Respiratory Dis Arising In Perinatal Period,0.817
132,3,1323,04,BPD & Oth Chronic Respiratory Dis Arising In Perinatal Period,1.2948
132,4,1324,04,BPD & Oth Chronic Respiratory Dis Arising In Perinatal Period,2.7252
133,1,1331,04,Pulmonary Edema & Respiratory Failure,0.6413
133,2,1332,04,Pulmonary Edema & Respiratory Failure,0.925
133,3,1333,04,Pulmonary Edema & Respiratory Failure,1.4115
133,4,1334,04,Pulmonary Edema & Respiratory Failure,1.9978
134,1,1341,04,Pulmonary Embolism,0.7738
134,2,1342,04,Pulmonary Embolism,1.0184
134,3,1343,04,Pulmonary Embolism,1.5535
134,4,1344,04,Pulmonary Embolism,2.7718
135,1,1351,04,Major Chest & Respiratory Trauma,0.5257
135,2,1352,04,Major Chest & Respiratory Trauma,0.7316
135,3,1353,04,Major Chest & Respiratory Trauma,1.2398
135,4,1354,04,Major Chest & Respiratory Trauma,2.2963
136,1,1361,04,Respiratory Malignancy,0.6718
136,2,1362,04,Respiratory Malignancy,0.8576
136,3,1363,04,Respiratory Malignancy,1.5717
136,4,1364,04,Respiratory Malignancy,2.5581
137,1,1371,04,Major Respiratory Infections & Inflammations,0.8622
137,2,1372,04,Major Respiratory Infections & Inflammations,1.0487
137,3,1373,04,Major Respiratory Infections & Inflammations,1.5526
137,4,1374,04,Major Respiratory Infections & Inflammations,2.5011
138,1,1381,04,Bronchiolitis & RSV Pneumonia,0.4584
138,2,1382,04,Bronchiolitis & RSV Pneumonia,0.6098
138,3,1383,04,Bronchiolitis & RSV Pneumonia,1.2309
138,4,1384,04,Bronchiolitis & RSV Pneumonia,2.4828
139,1,1391,04,Other Pneumonia,0.4827
139,2,1392,04,Other Pneumonia,0.6753
139,3,1393,04,Other Pneumonia,1.1509
139,4,1394,04,Other Pneumonia,2.1721
140,1,1401,04,Chronic Obstructive Pulmonary Disease,0.5507
140,2,1402,04,Chronic Obstructive Pulmonary Disease,0.7094
140,3,1403,04,Chronic Obstructive Pulmonary Disease,1.045
140,4,1404,04,Chronic Obstructive Pulmonary Disease,2.119
141,1,1411,04,Asthma,0.4172
141,2,1412,04,Asthma,0.5585
141,3,1413,04,Asthma,0.8321
141,4,1414,04,Asthma,1.5258
142,1,1421,04,Interstitial Lung Disease,0.6016
142,2,1422,04,Interstitial Lung Disease,0.7989
142,3,1423,04,Interstitial Lung Disease,1.3284
142,4,1424,04,Interstitial Lung Disease,2.7614
143,1,1431,04,"Other Respiratory Diagnosis Except Signs, Symptoms & Minor Diagnoses",0.4889
143,2,1432,04,"Other Respiratory Diagnosis Except Signs, Symptoms & Minor Diagnoses",0.7739
143,3,1433,04,"Other Respiratory Diagnosis Except Signs, Symptoms & Minor Diagnoses",1.251
143,4,1434,04,"Other Respiratory Diagnosis Except Signs, Symptoms & Minor Diagnoses",2.0278
144,1,1441,04,"Respiratory System Signs, Symptoms & Other Diagnoses",0.4097
144,2,1442,04,"Respiratory System Signs, Symptoms & Other Diagnoses",0.5378
144,3,1443,04,"Respiratory System Signs, Symptoms & Other Diagnoses",0.8224
144,4,1444,04,"Respiratory System Signs, Symptoms & Other Diagnoses",1.47
160,1,1601,05,Major Cardiothoracic Repair of Heart Anomaly,2.6853
160,2,1602,05,Major Cardiothoracic Repair of Heart Anomaly,3.2379
160,3,1603,05,Major Cardiothoracic Repair of Heart Anomaly,4.1715
160,4,1604,05,Major Cardiothoracic Repair of Heart Anomaly,10.7035
161,1,1611,05,Cardiac Defibrillator & Heart Assist Anomaly,4.3663
161,2,1612,05,Cardiac Defibrillator & Heart Assist Anomaly,6.5092
161,3,1613,05,Cardiac Defibrillator & Heart Assist Anomaly,11.0336
161,4,1614,05,Cardiac Defibrillator & Heart Assist Anomaly,23.0774
162,1,1621,05,Cardiac Valve Procedures w/ Cardiac Catheterization,3.5573
162,2,1622,05,Cardiac Valve Procedures w/ Cardiac Catheterization,4.1759
162,3,1623,05,Cardiac Valve Procedures w/ Cardiac Catheterization,5.6769
162,4,1624,05,Cardiac Valve Procedures w/ Cardiac Catheterization,11.111
163,1,1631,05,Cardiac Valve Procedures w/o Cardiac Catheterization,2.9023
163,2,1632,05,Cardiac Valve Procedures w/o Cardiac Catheterization,3.6635
163,3,1633,05,Cardiac Valve Procedures w/o Cardiac Catheterization,4.8394
163,4,1634,05,Cardiac Valve Procedures w/o Cardiac Catheterization,10.3269
165,1,1651,05,Coronary Bypass w/ Cardiac Cath Or Percutaneous Cardiac Procedure,3.3668
165,2,1652,05,Coronary Bypass w/ Cardiac Cath Or Percutaneous Cardiac Procedure,3.8357
165,3,1653,05,Coronary Bypass w/ Cardiac Cath Or Percutaneous Cardiac Procedure,4.8055
165,4,1654,05,Coronary Bypass w/ Cardiac Cath Or Percutaneous Cardiac Procedure,8.566
166,1,1661,05,Coronary Bypass w/o Cardiac Cath Or Percutaneous Cardiac Procedure,2.6534
166,2,1662,05,Coronary Bypass w/o Cardiac Cath Or Percutaneous Cardiac Procedure,3.035
166,3,1663,05,Coronary Bypass w/o Cardiac Cath Or Percutaneous Cardiac Procedure,4.2344
166,4,1664,05,Coronary Bypass w/o Cardiac Cath Or Percutaneous Cardiac Procedure,9.0263
167,1,1671,05,Other Cardiothoracic Procedures,2.0776
167,2,1672,05,Other Cardiothoracic Procedures,2.7417
167,3,1673,05,Other Cardiothoracic Procedures,3.4309
167,4,1674,05,Other Cardiothoracic Procedures,6.8094
169,1,1691,05,Major Thoracic & Abdominal Vascular Procedures,1.7726
169,2,1692,05,Major Thoracic & Abdominal Vascular Procedures,2.4326
169,3,1693,05,Major Thoracic & Abdominal Vascular Procedures,3.997
169,4,1694,05,Major Thoracic & Abdominal Vascular Procedures,7.4029
170,1,1701,05,"Permanent Cardiac Pacemaker Implant w/ AMI, Heart Failure or Shock",3.0815
170,2,1702,05,"Permanent Cardiac Pacemaker Implant w/ AMI, Heart Failure or Shock",3.0815
170,3,1703,05,"Permanent Cardiac Pacemaker Implant w/ AMI, Heart Failure or Shock",3.6414
170,4,1704,05,"Permanent Cardiac Pacemaker Implant w/ AMI, Heart Failure or Shock",6.2388
171,1,1711,05,"Perm Cardiac Pacemaker Implant w/o AMI, Heart Failure or Shock",1.8358
171,2,1712,05,"Perm Cardiac Pacemaker Implant w/o AMI, Heart Failure or Shock",2.2414
171,3,1713,05,"Perm Cardiac Pacemaker Implant w/o AMI, Heart Failure or Shock",3.2318
171,4,1714,05,"Perm Cardiac Pacemaker Implant w/o AMI, Heart Failure or Shock",5.8722
173,1,1731,05,Other Vascular Procedures,1.522
173,2,1732,05,Other Vascular Procedures,2.0709
173,3,1733,05,Other Vascular Procedures,3.2849
173,4,1734,05,Other Vascular Procedures,7.2181
174,1,1741,05,Percutaneous Cardiovascular Procedures w/ AMI,1.9515
174,2,1742,05,Percutaneous Cardiovascular Procedures w/ AMI,2.1708
174,3,1743,05,Percutaneous Cardiovascular Procedures w/ AMI,2.831
174,4,1744,05,Percutaneous Cardiovascular Procedures w/ AMI,4.0052
175,1,1751,05,Percutaneous Cardiovascular Procedures w/o AMI,1.4546
175,2,1752,05,Percutaneous Cardiovascular Procedures w/o AMI,1.6351
175,3,1753,05,Percutaneous Cardiovascular Procedures w/o AMI,2.4993
175,4,1754,05,Percutaneous Cardiovascular Procedures w/o AMI,3.8994
176,1,1761,05,Cardiac Pacemaker & Defibrillator Device Replacement,1.3564
176,2,1762,05,Cardiac Pacemaker & Defibrillator Device Replacement,2.5931
176,3,1763,05,Cardiac Pacemaker & Defibrillator Device Replacement,2.8956
176,4,1764,05,Cardiac Pacemaker & Defibrillator Device Replacement,3.0168
177,1,1771,05,Cardiac Pacemaker & Defibrillator Revision Except Device Replacement,1.3896
177,2,1772,05,Cardiac Pacemaker & Defibrillator Revision Except Device Replacement,1.8187
177,3,1773,05,Cardiac Pacemaker & Defibrillator Revision Except Device Replacement,2.7615
177,4,1774,05,Cardiac Pacemaker & Defibrillator Revision Except Device Replacement,7.1429
180,1,1801,05,Other Circulatory System Procedures,1.1671
180,2,1802,05,Other Circulatory System Procedures,1.6872
180,3,1803,05,Other Circulatory System Procedures,2.8083
180,4,1804,05,Other Circulatory System Procedures,5.3027
190,1,1901,05,Acute Myocardial Infarction,0.7778
190,2,1902,05,Acute Myocardial Infarction,1.0235
190,3,1903,05,Acute Myocardial Infarction,1.5163
190,4,1904,05,Acute Myocardial Infarction,2.8087
191,1,1911,05,Cardiac Catheterization w/ Circ Disord Exc Ischemic Heart Disease,0.9026
191,2,1912,05,Cardiac Catheterization w/ Circ Disord Exc Ischemic Heart Disease,1.1469
191,3,1913,05,Cardiac Catheterization w/ Circ Disord Exc Ischemic Heart Disease,1.6998
191,4,1914,05,Cardiac Catheterization w/ Circ Disord Exc Ischemic Heart Disease,5.0402
192,1,1921,05,Cardiac Catheterization for Ischemic Heart Disease,0.6933
192,2,1922,05,Cardiac Catheterization for Ischemic Heart Disease,0.8686
192,3,1923,05,Cardiac Catheterization for Ischemic Heart Disease,1.2623
192,4,1924,05,Cardiac Catheterization for Ischemic Heart Disease,3.5971
193,1,1931,05,Acute & Subacute Endocarditis,0.9656
193,2,1932,05,Acute & Subacute Endocarditis,1.3826
193,3,1933,05,Acute & Subacute Endocarditis,2.3809
193,4,1934,05,Acute & Subacute Endocarditis,4.4144
194,1,1941,05,Heart Failure,0.5504
194,2,1942,05,Heart Failure,0.7642
194,3,1943,05,Heart Failure,1.2975
194,4,1944,05,Heart Failure,2.9085
196,1,1961,05,Cardiac Arrest,0.354
196,2,1962,05,Cardiac Arrest,0.5625
196,3,1963,05,Cardiac Arrest,0.7415
196,4,1964,05,Cardiac Arrest,1.8738
197,1,1971,05,Peripheral & Other Vascular Disorders,0.5693
197,2,1972,05,Peripheral & Other Vascular Disorders,0.7801
197,3,1973,05,Peripheral & Other Vascular Disorders,1.2112
197,4,1974,05,Peripheral & Other Vascular Disorders,2.6719
198,1,1981,05,Angina Pectoris & Coronary Atherosclerosis,0.3902
198,2,1982,05,Angina Pectoris & Coronary Atherosclerosis,0.5022
198,3,1983,05,Angina Pectoris & Coronary Atherosclerosis,0.8473
198,4,1984,05,Angina Pectoris & Coronary Atherosclerosis,0.9198
199,1,1991,05,Hypertension,0.4068
199,2,1992,05,Hypertension,0.5334
199,3,1993,05,Hypertension,0.9038
199,4,1994,05,Hypertension,2.6368
200,1,2001,05,Cardiac Congenital & Valvular Disorders,0.4907
200,2,2002,05,Cardiac Congenital & Valvular Disorders,0.6862
200,3,2003,05,Cardiac Congenital & Valvular Disorders,1.0856
200,4,2004,05,Cardiac Congenital & Valvular Disorders,3.2333
201,1,2011,05,Cardiac Arrhythmia & Conduction Disorders,0.4231
201,2,2012,05,Cardiac Arrhythmia & Conduction Disorders,0.6489
201,3,2013,05,Cardiac Arrhythmia & Conduction Disorders,1.1395
201,4,2014,05,Cardiac Arrhythmia & Conduction Disorders,2.6423
203,1,2031,05,Chest Pain,0.3586
203,2,2032,05,Chest Pain,0.451
203,3,2033,05,Chest Pain,0.6973
203,4,2034,05,Chest Pain,1.9656
204,1,2041,05,Syncope & Collapse,0.4192
204,2,2042,05,Syncope & Collapse,0.5524
204,3,2043,05,Syncope & Collapse,0.8874
204,4,2044,05,Syncope & Collapse,2.302
205,1,2051,05,Cardiomyopathy,0.5091
205,2,2052,05,Cardiomyopathy,0.6347
205,3,2053,05,Cardiomyopathy,1.1214
205,4,2054,05,Cardiomyopathy,1.4201
206,1,2061,05,"Malfunction, Reaction & Comp of Cardiac or Vasc Device or Proc",0.4737
206,2,2062,05,"Malfunction, Reaction & Comp of Cardiac or Vasc Device or Proc",0.7087
206,3,2063,05,"Malfunction, Reaction & Comp of Cardiac or Vasc Device or Proc",1.3032
206,4,2064,05,"Malfunction, Reaction & Comp of Cardiac or Vasc Device or Proc",3.1194
207,1,2071,05,Other Circulatory System Diagnoses,0.474
207,2,2072,05,Other Circulatory System Diagnoses,0.7053
207,3,2073,05,Other Circulatory System Diagnoses,1.2043
207,4,2074,05,Other Circulatory System Diagnoses,2.7343
220,1,2201,06,"Major Stomach, Esophageal & Duodenal Procedures",1.2027
220,2,2202,06,"Major Stomach, Esophageal & Duodenal Procedures",1.9353
220,3,2203,06,"Major Stomach, Esophageal & Duodenal Procedures",3.4738
220,4,2204,06,"Major Stomach, Esophageal & Duodenal Procedures",7.5539
221,1,2211,06,Major Small & Large Bowel Procedures,1.4256
221,2,2212,06,Major Small & Large Bowel Procedures,1.8654
221,3,2213,06,Major Small & Large Bowel Procedures,3.2113
221,4,2214,06,Major Small & Large Bowel Procedures,6.5399
222,1,2221,06,"Minor Stomach, Esophageal & Duodenal Procedures",0.8218
222,2,2222,06,"Minor Stomach, Esophageal & Duodenal Procedures",1.1072
222,3,2223,06,"Minor Stomach, Esophageal & Duodenal Procedures",2.427
222,4,2224,06,"Minor Stomach, Esophageal & Duodenal Procedures",5.0039
223,1,2231,06,Minor Small & Large Bowel Procedures,1.1396
223,2,2232,06,Minor Small & Large Bowel Procedures,1.5501
223,3,2233,06,Minor Small & Large Bowel Procedures,2.6235
223,4,2234,06,Minor Small & Large Bowel Procedures,5.8848
224,1,2241,06,Peritoneal Adhesiolysis,1.2169
224,2,2242,06,Peritoneal Adhesiolysis,1.6309
224,3,2243,06,Peritoneal Adhesiolysis,2.7988
224,4,2244,06,Peritoneal Adhesiolysis,4.3208
225,1,2251,06,Appendectomy,0.6968
225,2,2252,06,Appendectomy,1.0652
225,3,2253,06,Appendectomy,1.9532
225,4,2254,06,Appendectomy,4.4827
226,1,2261,06,Anal Procedures,0.6133
226,2,2262,06,Anal Procedures,0.8993
226,3,2263,06,Anal Procedures,1.7286
226,4,2264,06,Anal Procedures,2.1633
227,1,2271,06,"Hernia Procedures Except Inguinal, Femoral & Umbilical",0.9865
227,2,2272,06,"Hernia Procedures Except Inguinal, Femoral & Umbilical",1.3118
227,3,2273,06,"Hernia Procedures Except Inguinal, Femoral & Umbilical",2.4433
227,4,2274,06,"Hernia Procedures Except Inguinal, Femoral & Umbilical",5.4237
228,1,2281,06,"Inguinal, Femoral & Umbilical Hernia Procedures",0.666
228,2,2282,06,"Inguinal, Femoral & Umbilical Hernia Procedures",0.9551
