MS-DRG,DRG_CODE,MDC,TYPE,DESCRIPTION,WEIGHT
39,39,01,SURG,EXTRACRANIAL PROCEDURES W/O CC/MCC,1.0285
40,40,01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,3.868
41,41,01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,2.133
42,42,01,SURG,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,1.7744
52,52,01,MED,SPINAL DISORDERS & INJURIES W CC/MCC,1.4903
53,53,01,MED,SPINAL DISORDERS & INJURIES W/O CC/MCC,0.9046
54,54,01,MED,NERVOUS SYSTEM NEOPLASMS W MCC,1.3962
55,55,01,MED,NERVOUS SYSTEM NEOPLASMS W/O MCC,1.0486
56,56,01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,1.7194
57,57,01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,0.968
58,58,01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,1.6472
59,59,01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,1.0088
60,60,01,MED,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,0.7807
61,61,01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,2.8668
62,62,01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,1.9551
63,63,01,MED,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,1.5366
64,64,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,1.8424
65,65,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,1.1345
66,66,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,0.8135
67,67,01,MED,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,1.5074
68,68,01,MED,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,0.8899
69,69,01,MED,TRANSIENT ISCHEMIA,0.7449
70,70,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,1.7056
71,71,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,1.0174
72,72,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,0.7506
73,73,01,MED,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,1.282
74,74,01,MED,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,0.8837
75,75,01,MED,VIRAL MENINGITIS W CC/MCC,1.7611
76,76,01,MED,VIRAL MENINGITIS W/O CC/MCC,0.8947
77,77,01,MED,HYPERTENSIVE ENCEPHALOPATHY W MCC,1.6426
78,78,01,MED,HYPERTENSIVE ENCEPHALOPATHY W CC,0.979
79,79,01,MED,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,0.7297
80,80,01,MED,NONTRAUMATIC STUPOR & COMA W MCC,1.2616
81,81,01,MED,NONTRAUMATIC STUPOR & COMA W/O MCC,0.7416
82,82,01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",1.9249
83,83,01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",1.3458
84,84,01,MED,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",0.8696
85,85,01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",2.0387
86,86,01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",1.1874
87,87,01,MED,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",0.7605
88,88,01,MED,CONCUSSION W MCC,1.5687
89,89,01,MED,CONCUSSION W CC,0.9791
90,90,01,MED,CONCUSSION W/O CC/MCC,0.7218
91,91,01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,1.6583
92,92,01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W CC,0.9214
93,93,01,MED,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,0.6938
94,94,01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,3.5656
95,95,01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,2.4627
96,96,01,MED,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,2.0158
97,97,01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,3.3714
98,98,01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,1.8418
99,99,01,MED,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,1.2427
100,100,01,MED,SEIZURES W MCC,1.557
101,101,01,MED,SEIZURES W/O MCC,0.7643
102,102,01,MED,HEADACHES W MCC,1.0209
103,103,01,MED,HEADACHES W/O MCC,0.6893
113,113,02,SURG,ORBITAL PROCEDURES W CC/MCC,1.8587
114,114,02,SURG,ORBITAL PROCEDURES W/O CC/MCC,0.9589
115,115,02,SURG,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,1.2407
116,116,02,SURG,INTRAOCULAR PROCEDURES W CC/MCC,1.5022
117,117,02,SURG,INTRAOCULAR PROCEDURES W/O CC/MCC,0.7234
121,121,02,MED,ACUTE MAJOR EYE INFECTIONS W CC/MCC,0.9589
122,122,02,MED,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,0.6533
123,123,02,MED,NEUROLOGICAL EYE DISORDERS,0.7542
124,124,02,MED,OTHER DISORDERS OF THE EYE W MCC,1.1885
125,125,02,MED,OTHER DISORDERS OF THE EYE W/O MCC,0.685
129,129,03,SURG,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,2.15
130,130,03,SURG,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,1.2065
131,131,03,SURG,CRANIAL/FACIAL PROCEDURES W CC/MCC,2.3443
132,132,03,SURG,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,1.2362
133,133,03,SURG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",1.7818
134,134,03,SURG,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",0.9177
135,135,03,SURG,SINUS & MASTOID PROCEDURES W CC/MCC,2.0002
136,136,03,SURG,SINUS & MASTOID PROCEDURES W/O CC/MCC,1.0697
137,137,03,SURG,MOUTH PROCEDURES W CC/MCC,1.3192
138,138,03,SURG,MOUTH PROCEDURES W/O CC/MCC,0.7388
139,139,03,SURG,SALIVARY GLAND PROCEDURES,0.8922
146,146,03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC",2.2347
147,147,03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",1.2486
148,148,03,MED,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC",0.7488
149,149,03,MED,DYSEQUILIBRIUM,0.6462
150,150,03,MED,EPISTAXIS W MCC,1.389
151,151,03,MED,EPISTAXIS W/O MCC,0.6458
152,152,03,MED,OTITIS MEDIA & URI W MCC,1.0166
153,153,03,MED,OTITIS MEDIA & URI W/O MCC,0.6605
154,154,03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",1.4138
155,155,03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",0.9137
156,156,03,MED,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",0.6349
157,157,03,MED,DENTAL & ORAL DISEASES W MCC,1.601
158,158,03,MED,DENTAL & ORAL DISEASES W CC,0.8988
159,159,03,MED,DENTAL & ORAL DISEASES W/O CC/MCC,0.5969
163,163,04,SURG,MAJOR CHEST PROCEDURES W MCC,5.1193
164,164,04,SURG,MAJOR CHEST PROCEDURES W CC,2.6191
165,165,04,SURG,MAJOR CHEST PROCEDURES W/O CC/MCC,1.7922
166,166,04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,3.7513
167,167,04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W CC,2.0043
168,168,04,SURG,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,1.3153
175,175,04,MED,PULMONARY EMBOLISM W MCC,1.587
176,176,04,MED,PULMONARY EMBOLISM W/O MCC,1.0379
177,177,04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2.0549
178,178,04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,1.4403
179,179,04,MED,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,0.9799
180,180,04,MED,RESPIRATORY NEOPLASMS W MCC,1.7567
181,181,04,MED,RESPIRATORY NEOPLASMS W CC,1.2108
182,182,04,MED,RESPIRATORY NEOPLASMS W/O CC/MCC,0.8275
183,183,04,MED,MAJOR CHEST TRAUMA W MCC,1.4804
184,184,04,MED,MAJOR CHEST TRAUMA W CC,1.0171
185,185,04,MED,MAJOR CHEST TRAUMA W/O CC/MCC,0.6961
186,186,04,MED,PLEURAL EFFUSION W MCC,1.5746
187,187,04,MED,PLEURAL EFFUSION W CC,1.1169
188,188,04,MED,PLEURAL EFFUSION W/O CC/MCC,0.7544
189,189,04,MED,PULMONARY EDEMA & RESPIRATORY FAILURE,1.2461
190,190,04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,1.186
191,191,04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,0.9521
192,192,04,MED,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,0.7072
193,193,04,MED,SIMPLE PNEUMONIA & PLEURISY W MCC,1.4893
194,194,04,MED,SIMPLE PNEUMONIA & PLEURISY W CC,0.9996
195,195,04,MED,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,0.7078
196,196,04,MED,INTERSTITIAL LUNG DISEASE W MCC,1.682
197,197,04,MED,INTERSTITIAL LUNG DISEASE W CC,1.1209
198,198,04,MED,INTERSTITIAL LUNG DISEASE W/O CC/MCC,0.7879
199,199,04,MED,PNEUMOTHORAX W MCC,1.8915
200,200,04,MED,PNEUMOTHORAX W CC,1.0242
201,201,04,MED,PNEUMOTHORAX W/O CC/MCC,0.6792
202,202,04,MED,BRONCHITIS & ASTHMA W CC/MCC,0.8704
203,203,04,MED,BRONCHITIS & ASTHMA W/O CC/MCC,0.6228
204,204,04,MED,RESPIRATORY SIGNS & SYMPTOMS,0.6822
205,205,04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,1.3809
206,206,04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,0.7763
207,207,04,MED,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,5.3619
208,208,04,MED,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,2.2899
215,215,05,SURG,OTHER HEART ASSIST SYSTEM IMPLANT,14.1036
216,216,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,9.519
217,217,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,6.3495
218,218,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,5.3429
219,219,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,7.839
220,220,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5.2438
221,221,05,SURG,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,4.4232
222,222,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,8.5506
223,223,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,6.1065
224,224,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,7.6758
225,225,05,SURG,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,5.7605
226,226,05,SURG,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,6.7354
227,227,05,SURG,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,5.1886
228,228,05,SURG,OTHER CARDIOTHORACIC PROCEDURES W MCC,7.0815
229,229,05,SURG,OTHER CARDIOTHORACIC PROCEDURES W CC,4.6279
230,230,05,SURG,OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC,3.8111
231,231,05,SURG,CORONARY BYPASS W PTCA W MCC,7.5297
232,232,05,SURG,CORONARY BYPASS W PTCA W/O MCC,5.7151
233,233,05,SURG,CORONARY BYPASS W CARDIAC CATH W MCC,7.2292
234,234,05,SURG,CORONARY BYPASS W CARDIAC CATH W/O MCC,4.8413
235,235,05,SURG,CORONARY BYPASS W/O CARDIAC CATH W MCC,5.8014
236,236,05,SURG,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,3.7777
237,237,05,SURG,MAJOR CARDIOVASC PROCEDURES W MCC,5.117
238,238,05,SURG,MAJOR CARDIOVASC PROCEDURES W/O MCC,3.1863
239,239,05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,4.6194
240,240,05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,2.6531
241,241,05,SURG,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,1.4825
242,242,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,3.7314
243,243,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,2.6204
244,244,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,2.0624
245,245,05,SURG,AICD GENERATOR PROCEDURES,4.254
246,246,05,SURG,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,3.1566
247,247,05,SURG,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,1.9911
248,248,05,SURG,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,3.0003
249,249,05,SURG,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,1.7961
250,250,05,SURG,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,2.9988
251,251,05,SURG,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1.9237
252,252,05,SURG,OTHER VASCULAR PROCEDURES W MCC,3.0224
253,253,05,SURG,OTHER VASCULAR PROCEDURES W CC,2.4739
254,254,05,SURG,OTHER VASCULAR PROCEDURES W/O CC/MCC,1.6609
255,255,05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,2.4381
256,256,05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,1.5934
257,257,05,SURG,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC,0.9535
258,258,05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,2.6945
259,259,05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,1.859
260,260,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,3.6624
261,261,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,1.6769
262,262,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,1.2343
263,263,05,SURG,VEIN LIGATION & STRIPPING,1.9091
264,264,05,SURG,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,2.6674
265,265,05,SURG,AICD LEAD PROCEDURES,2.4394
280,280,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1.7999
281,281,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",1.0961
282,282,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",0.7736
283,283,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",1.7539
284,284,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC",0.8042
285,285,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC",0.5353
286,286,05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",2.0617
287,287,05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",1.0709
288,288,05,MED,ACUTE & SUBACUTE ENDOCARDITIS W MCC,2.8229
289,289,05,MED,ACUTE & SUBACUTE ENDOCARDITIS W CC,1.8145
290,290,05,MED,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC,1.2092
291,291,05,MED,HEART FAILURE & SHOCK W MCC,1.5174
292,292,05,MED,HEART FAILURE & SHOCK W CC,1.0034
293,293,05,MED,HEART FAILURE & SHOCK W/O CC/MCC,0.6751
294,294,05,MED,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,1.0229
295,295,05,MED,DEEP VEIN THROMBOPHLEBITIS W/O CC/MCC,0.6476
296,296,05,MED,"CARDIAC ARREST, UNEXPLAINED W MCC",1.2878
297,297,05,MED,"CARDIAC ARREST, UNEXPLAINED W CC",0.6455
298,298,05,MED,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC",0.4571
299,299,05,MED,PERIPHERAL VASCULAR DISORDERS W MCC,1.4186
300,300,05,MED,PERIPHERAL VASCULAR DISORDERS W CC,0.9679
301,301,05,MED,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,0.6679
302,302,05,MED,ATHEROSCLEROSIS W MCC,1.0142
303,303,05,MED,ATHEROSCLEROSIS W/O MCC,0.5773
304,304,05,MED,HYPERTENSION W MCC,1.0503
305,305,05,MED,HYPERTENSION W/O MCC,0.6187
306,306,05,MED,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,1.3122
307,307,05,MED,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,0.784
308,308,05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,1.2285
309,309,05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,0.8098
310,310,05,MED,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,0.5541
311,311,05,MED,ANGINA PECTORIS,0.5207
312,312,05,MED,SYNCOPE & COLLAPSE,0.7339
313,313,05,MED,CHEST PAIN,0.5617
314,314,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,1.8508
315,315,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,0.9527
316,316,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,0.6224
326,326,06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",5.6118
327,327,06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",2.6811
328,328,06,SURG,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",1.4413
329,329,06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,5.2599
330,330,06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,2.5731
331,331,06,SURG,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.6361
332,332,06,SURG,RECTAL RESECTION W MCC,4.6143
333,333,06,SURG,RECTAL RESECTION W CC,2.4814
334,334,06,SURG,RECTAL RESECTION W/O CC/MCC,1.6181
335,335,06,SURG,PERITONEAL ADHESIOLYSIS W MCC,4.3146
336,336,06,SURG,PERITONEAL ADHESIOLYSIS W CC,2.3529
337,337,06,SURG,PERITONEAL ADHESIOLYSIS W/O CC/MCC,1.5538
338,338,06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,3.2008
339,339,06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,1.8675
340,340,06,SURG,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,1.2024
341,341,06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,2.3116
342,342,06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,1.3516
343,343,06,SURG,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,0.9547
344,344,06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,3.4094
345,345,06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,1.7123
346,346,06,SURG,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,1.1608
347,347,06,SURG,ANAL & STOMAL PROCEDURES W MCC,2.5169
348,348,06,SURG,ANAL & STOMAL PROCEDURES W CC,1.39
349,349,06,SURG,ANAL & STOMAL PROCEDURES W/O CC/MCC,0.8343
350,350,06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,2.5082
351,351,06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,1.3755
352,352,06,SURG,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,0.9043
353,353,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,2.8192
354,354,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,1.5976
355,355,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,1.1172
356,356,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,3.9463
357,357,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,2.1747
358,358,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,1.3629
368,368,06,MED,MAJOR ESOPHAGEAL DISORDERS W MCC,1.8327
369,369,06,MED,MAJOR ESOPHAGEAL DISORDERS W CC,1.0664
370,370,06,MED,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,0.7593
371,371,06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,2.02
372,372,06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,1.2275
373,373,06,MED,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,0.8401
374,374,06,MED,DIGESTIVE MALIGNANCY W MCC,2.1284
375,375,06,MED,DIGESTIVE MALIGNANCY W CC,1.2738
376,376,06,MED,DIGESTIVE MALIGNANCY W/O CC/MCC,0.8809
377,377,06,MED,G.I. HEMORRHAGE W MCC,1.7817
378,378,06,MED,G.I. HEMORRHAGE W CC,1.0168
379,379,06,MED,G.I. HEMORRHAGE W/O CC/MCC,0.7015
380,380,06,MED,COMPLICATED PEPTIC ULCER W MCC,1.9311
381,381,06,MED,COMPLICATED PEPTIC ULCER W CC,1.113
382,382,06,MED,COMPLICATED PEPTIC ULCER W/O CC/MCC,0.7917
383,383,06,MED,UNCOMPLICATED PEPTIC ULCER W MCC,1.3384
384,384,06,MED,UNCOMPLICATED PEPTIC ULCER W/O MCC,0.8365
385,385,06,MED,INFLAMMATORY BOWEL DISEASE W MCC,1.9078
386,386,06,MED,INFLAMMATORY BOWEL DISEASE W CC,1.0505
387,387,06,MED,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,0.7878
388,388,06,MED,G.I. OBSTRUCTION W MCC,1.6564
389,389,06,MED,G.I. OBSTRUCTION W CC,0.9217
390,390,06,MED,G.I. OBSTRUCTION W/O CC/MCC,0.6372
391,391,06,MED,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",1.1897
392,392,06,MED,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",0.7375
